POS,BETO LRP,Humà (TFD),MrBERT IG
ADJ,0.08644982272490298,0.047474208500237786,0.07121623911130799
ADV,0.040212866501485985,0.05219041467762522,0.02926386960359097
AUX,0.03472847457659435,0.054576895394730214,0.031809207001433235
CONJ,0.0376735174859798,0.05384377070983427,0.036450154187228904
DET,0.05963947822103992,0.096604590683866,0.06381010972931499
NOM,0.20406218970610307,0.1554655390988982,0.1321365493562296
NOMP,0.02624194987019033,0.015118787038706998,0.03298560316793088
PREP,0.07552439660155534,0.06643259434132046,0.058077039879361775
PRON,0.047527539612437004,0.06736020692213356,0.0754611321008571
VERB,0.08131499565788017,0.1404658494367728,0.13448210926408283
